"Day ","Items ","Note ","Amount "
"90","Human Resource Expense","Counselled","2000"
"90","Human Resource Expense","Counselled","2000"
"90","Human Resource Expense","Counselled","2000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"90","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"90","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"90","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"90","Salary Expense","Cash Payment - Salary Expense","29381"
"90","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"90","Rental Expense","Cash Payment - Rental - Detroit","2400"
"90","Rental Expense","Cash Payment - Rental - New York","5360"
"90","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","728"
"90","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"89","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"89","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"89","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"89","Salary Expense","Cash Payment - Salary Expense","29381"
"89","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"89","Rental Expense","Cash Payment - Rental - Detroit","2400"
"89","Rental Expense","Cash Payment - Rental - New York","5360"
"89","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","728"
"89","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"88","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"88","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"88","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"88","Salary Expense","Cash Payment - Salary Expense","29381"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14991","188"
"88","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"88","Rental Expense","Cash Payment - Rental - Detroit","2400"
"88","Rental Expense","Cash Payment - Rental - New York","5360"
"88","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","735"
"88","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"87","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"87","Human Resource Expense","Counselled","2000"
"87","Human Resource Expense","Attended Training","15000"
"87","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"87","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"87","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"87","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"87","Salary Expense","Cash Payment - Salary Expense","29381"
"87","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"87","Rental Expense","Cash Payment - Rental - Detroit","2400"
"87","Rental Expense","Cash Payment - Rental - New York","5360"
"87","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","735"
"87","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"86","Human Resource Expense","Staff Dismiss","83000"
"86","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"86","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"86","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"86","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"86","Salary Expense","Cash Payment - Salary Expense","28935"
"86","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"86","Rental Expense","Cash Payment - Rental - Detroit","2400"
"86","Rental Expense","Cash Payment - Rental - New York","5360"
"86","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","2268"
"86","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"85","Human Resource Expense","Counselled","2000"
"85","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"85","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"85","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"85","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"85","Salary Expense","Cash Payment - Salary Expense","29451"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 453","15000"
"85","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"85","Rental Expense","Cash Payment - Rental - Detroit","2400"
"85","Rental Expense","Cash Payment - Rental - New York","5360"
"85","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","2184"
"85","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"84","Human Resource Expense","Attended Training","15000"
"84","Human Resource Expense","Attended Training","15000"
"84","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
