"Day ","Location ","Product ","Unit Sold ","Revenue ","COGS "
"90","Los Angeles","Mouthwash","385","17325","3083.00"
"90","Los Angeles","Body Wash  ","432","18576","4848.00"
"90","Los Angeles","Shampoo","829","39792","6822.00"
"90","New York","Mouthwash","1073","115884","8592.00"
"90","New York","Body Wash  ","536","64856","6015.00"
"90","New York","Shampoo","523","60145","4304.00"
"89","Los Angeles","Mouthwash","402","18090","3219.00"
"89","Los Angeles","Body Wash  ","434","18662","4870.00"
"89","Los Angeles","Shampoo","795","38160","6542.00"
"89","New York","Mouthwash","1049","113292","8400.00"
"89","New York","Body Wash  ","552","66792","6194.00"
"89","New York","Shampoo","600","69000","4937.00"
"88","Los Angeles","Mouthwash","353","15885","2827.00"
"88","Los Angeles","Body Wash  ","432","18576","4848.00"
"88","Los Angeles","Shampoo","813","39024","6690.00"
"88","New York","Mouthwash","1109","119772","8881.00"
"88","New York","Body Wash  ","542","65582","6082.00"
"88","New York","Shampoo","582","66930","4789.00"
"87","Los Angeles","Mouthwash","557","18381","4460.00"
"87","Los Angeles","Body Wash  ","486","17496","5454.00"
"87","Los Angeles","Shampoo","770","30800","6336.00"
"87","New York","Mouthwash","691","74628","5533.00"
"87","New York","Body Wash  ","401","48521","4500.00"
"87","New York","Shampoo","442","50830","3637.00"
"86","Los Angeles","Mouthwash","414","13662","3315.00"
"86","Los Angeles","Body Wash  ","351","12636","4061.00"
"86","Los Angeles","Shampoo","625","25000","5141.00"
"86","New York","Mouthwash","759","81972","6078.00"
"86","New York","Body Wash  ","454","54934","5252.00"
"86","New York","Shampoo","439","50485","3611.00"
"85","Los Angeles","Mouthwash","504","16632","4036.00"
"85","Los Angeles","Body Wash  ","472","16992","3250.00"
"85","Los Angeles","Shampoo","786","31440","6452.00"
"85","New York","Mouthwash","850","91800","6807.00"
"85","New York","Body Wash  ","452","54692","3113.00"
"85","New York","Shampoo","478","54970","3924.00"
"84","Los Angeles","Mouthwash","526","17358","4212.00"
"84","Los Angeles","Body Wash  ","482","17352","3319.00"
"84","Los Angeles","Shampoo","770","30800","6312.00"
"84","New York","Mouthwash","769","83052","6158.00"
"84","New York","Body Wash  ","451","54571","3106.00"
"84","New York","Shampoo","436","50140","3574.00"
"83","Los Angeles","Mouthwash","549","18117","4396.00"
"83","Los Angeles","Body Wash  ","474","17064","3264.00"
"83","Los Angeles","Shampoo","823","32920","6729.00"
"83","New York","Mouthwash","854","92232","6839.00"
"83","New York","Body Wash  ","473","57233","3257.00"
"83","New York","Shampoo","461","53015","3769.00"
"82","Los Angeles","Mouthwash","1619","53427","12965.00"
"82","Los Angeles","Body Wash  ","1372","49392","9448.00"
"82","Los Angeles","Shampoo","1542","61680","12563.00"
"82","New York","Mouthwash","1324","142992","10602.00"
"82","New York","Body Wash  ","740","89540","5096.00"
"82","New York","Shampoo","674","77510","5491.00"
"81","Los Angeles","Mouthwash","1573","51909","12596.00"
"81","Los Angeles","Body Wash  ","1302","46872","8966.00"
"81","Los Angeles","Shampoo","1588","63520","13037.00"
"81","New York","Mouthwash","1336","144288","10698.00"
"81","New York","Body Wash  ","679","82159","4676.00"
"81","New York","Shampoo","748","86020","6141.00"
"80","Los Angeles","Mouthwash","1449","47817","11603.00"
"80","Los Angeles","Body Wash  ","1291","46476","8515.00"
"80","Los Angeles","Shampoo","1528","61120","12662.00"
"80","New York","Mouthwash","1230","132840","9850.00"
"80","New York","Body Wash  ","661","79981","4360.00"
"80","New York","Shampoo","695","79925","5759.00"
"79","Los Angeles","Mouthwash","1634","53922","13085.00"
"79","Los Angeles","Body Wash  ","1330","47880","8773.00"
"79","Los Angeles","Shampoo","1528","61120","12766.00"
"79","New York","Mouthwash","1192","128736","9545.00"
"79","New York","Body Wash  ","750","90750","4947.00"
"79","New York","Shampoo","695","79925","5807.00"
"78","Los Angeles","Mouthwash","1526","50358","11967.00"
"78","Los Angeles","Body Wash  ","1345","48420","8467.00"
"78","Los Angeles","Shampoo","1406","56240","11535.00"
"78","New York","Mouthwash","1121","121068","8791.00"
"78","New York","Body Wash  ","669","80949","4211.00"
"78","New York","Shampoo","689","79235","5653.00"
"77","Los Angeles","Mouthwash","533","17589","4180.00"
"77","Los Angeles","Body Wash  ","488","17568","3072.00"
"77","Los Angeles","Shampoo","807","32280","6660.00"
"77","New York","Mouthwash","765","82620","5999.00"
"77","New York","Body Wash  ","381","46101","2398.00"
"77","New York","Shampoo","352","40480","2905.00"
"76","Los Angeles","Mouthwash","552","18216","4329.00"
"76","Los Angeles","Body Wash  ","482","17352","3034.00"
"76","Los Angeles","Shampoo","786","31440","6563.00"
"76","New York","Mouthwash","718","77544","5630.00"
"76","New York","Body Wash  ","357","43197","2247.00"
"76","New York","Shampoo","386","44390","3223.00"
"75","Los Angeles","Mouthwash","552","18216","4234.00"
"75","Los Angeles","Body Wash  ","450","16200","2833.00"
"75","Los Angeles","Shampoo","818","32720","6998.00"
"75","New York","Mouthwash","750","81000","5753.00"
"75","New York","Body Wash  ","369","44649","2323.00"
"75","New York","Shampoo","382","43930","3268.00"
"74","Los Angeles","Mouthwash","525","17325","4027.00"
"74","Los Angeles","Body Wash  ","491","17676","3091.00"
"74","Los Angeles","Shampoo","787","31480","7129.00"
"74","New York","Mouthwash","710","76680","5446.00"
"74","New York","Body Wash  ","344","41624","2166.00"
"74","New York","Shampoo","369","42435","3343.00"
"73","Los Angeles","Mouthwash","525","17325","4027.00"
"73","Los Angeles","Body Wash  ","453","16308","2852.00"
"73","Los Angeles","Shampoo","763","30520","7767.00"
"73","New York","Mouthwash","737","79596","5653.00"
"73","New York","Body Wash  ","333","40293","2096.00"
"73","New York","Shampoo","360","41400","3665.00"
"72","Los Angeles","Mouthwash","558","18414","4280.00"
"72","Los Angeles","Body Wash  ","505","18180","3179.00"
"72","Los Angeles","Shampoo","756","30240","7696.00"
"72","New York","Mouthwash","676","73008","5185.00"
"72","New York","Body Wash  ","326","39446","2052.00"
"72","New York","Shampoo","365","41975","3716.00"
"71","Los Angeles","Mouthwash","541","17853","4150.00"
"71","Los Angeles","Body Wash  ","453","16308","2852.00"
"71","Los Angeles","Shampoo","748","29920","7615.00"
"71","New York","Mouthwash","709","76572","5438.00"
"71","New York","Body Wash  ","367","44407","2310.00"
"71","New York","Shampoo","327","37605","3329.00"
"70","Los Angeles","Mouthwash","576","19008","4418.00"
"70","Los Angeles","Body Wash  ","464","16704","2921.00"
"70","Los Angeles","Shampoo","768","30720","7818.00"
"70","New York","Mouthwash","680","73440","5216.00"
"70","New York","Body Wash  ","347","41987","2184.00"
"70","New York","Shampoo","376","43240","3828.00"
"69","Los Angeles","Mouthwash","568","18744","4236.00"
"69","Los Angeles","Body Wash  ","482","17352","3034.00"
"69","Los Angeles","Shampoo","810","32400","7863.00"
"69","New York","Mouthwash","723","78084","5391.00"
"69","New York","Body Wash  ","332","40172","2090.00"
"69","New York","Shampoo","328","37720","3184.00"
"68","Los Angeles","Mouthwash","501","16533","3736.00"
"68","Los Angeles","Body Wash  ","468","16848","2946.00"
"68","Los Angeles","Shampoo","824","32960","7999.00"
"68","New York","Mouthwash","770","83160","5742.00"
"68","New York","Body Wash  ","397","48037","2499.00"
"68","New York","Shampoo","397","45655","3854.00"
"67","Los Angeles","Mouthwash","571","18843","4258.00"
